,station_ID,Date,Time,Day,Month,Year,TC,TdC,Hr,ddd,ffkmh,Precmm,Prechrs,Nt,Nh,HKm,Viskm
252,63680,17/10/2021 12:00,12:00:00,17,10,2021,24.8,18.9,61,S,3.7,0.0/6h,6h,6,3,0.6,10
262,63680,17/10/2021 09:00,09:00:00,17,10,2021,21,18.9,83,SSE,7.4,Tr/3h,3h,7,5,0.3,10
272,63680,16/10/2021 12:00,12:00:00,16,10,2021,26.5,18.9,61,NNW,3.7,0.0/6h,6h,4,4,0.6,10
282,63680,16/10/2021 09:00,09:00:00,16,10,2021,24,18.9,69,CAL,0,0.0/3h,3h,7,4,0.6,8
292,63680,16/10/2021 06:00,06:00:00,16,10,2021,20.4,18.9,91,CAL,0,1.0/24h,24h,7,5,0.3,6
302,63680,14/10/2021 12:00,12:00:00,14,10,2021,28.5,18.9,49,CAL,0,0.0/6h,6h,4,4,0.6,20
313,63680,14/10/2021 09:00,09:00:00,14,10,2021,27.8,18.9,56,ENE,7.4,0.0/3h,3h,3,3,0.6,10
322,63680,14/10/2021 06:00,06:00:00,14,10,2021,23.4,18.9,76,CAL,0,0.0/24h,24h,2,2,0.6,5
332,63680,13/10/2021 12:00,12:00:00,13,10,2021,26.5,18.9,58,CAL,0,0.0/6h,6h,6,6,0.6,10
342,63680,13/10/2021 09:00,09:00:00,13,10,2021,25.5,18.9,66,E,3.7,0.0/3h,3h,4,4,0.6,10
352,63680,10/10/2021 12:00,12:00:00,10,10,2021,29,18.9,52,ENE,7.4,0.0/6h,6h,4,4,0.6,20
362,63680,10/10/2021 09:00,09:00:00,10,10,2021,27.5,18.9,52,CAL,0,0.0/3h,3h,2,2,0.6,10
372,63680,10/10/2021 06:00,06:00:00,10,10,2021,22.5,18.9,83,NNE,7.4,0.0/24h,24h,2,2,0.3,7
382,63680,07/10/2021 12:00,12:00:00,7,10,2021,25.5,18.9,60,S,5.6,0.0/6h,6h,6,4,0.6,10
392,63680,07/10/2021 06:00,06:00:00,7,10,2021,20.5,18.9,91,CAL,0,0.0/24h,24h,7,4,0.3,6
401,63680,05/10/2021 09:00,09:00:00,5,10,2021,19,18.9,96,CAL,0,NA,NA,8,6,0.6,6
412,63680,05/10/2021 06:00,06:00:00,5,10,2021,20.8,18.9,85,CAL,0,6.0/24h,24h,7,5,0.3,7
421,63680,04/10/2021 12:00,12:00:00,4,10,2021,22,18.9,86,CAL,0,2.0/6h,6h,7,5,0.3,7
431,63680,04/10/2021 09:00,09:00:00,4,10,2021,26,18.9,63,NNE,11.1,0.0/3h,3h,4,4,0.6,10
